V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
W	 -1.946	  1.487	  1.899	  1.899	 -2.040	 -1.091	  2.018	  2.018	 -1.692	  0.065	  0.953	  1.436
E	  1.992	  1.703	  1.992	  1.992	  2.057	  2.065	  2.539	  2.539	  2.060	  2.312	  1.781	  1.781
NW	   -Inf	  2.009	  2.941	  3.014	   -Inf	  2.147	  2.867	  2.907	   -Inf	  2.330	  1.874	  2.403
NE	  4.044	  1.343	  3.152	  3.130	  3.072	  1.625	  3.077	  2.859	  3.084	  1.521	  2.517	  2.197
SE	  1.776	  1.539	  2.583	  2.531	  2.245	  1.065	  2.356	  2.671	  2.387	  1.166	 -1.323	 -0.435
SW	   -Inf	  0.915	  2.061	  1.863	   -Inf	  0.933	  1.900	  2.031	   -Inf	  0.844	 -1.367	  0.204
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.000	 61.125	 60.000	 60.000	 48.750	 46.375	 57.750	 57.750	 46.250	 45.375	 33.000	 33.125
lon	-27.000	  4.000	 27.250	 30.000	-27.000	 -8.875	 27.250	 30.000	-27.000	 -8.875	 11.250	 43.750
N	  3.382	  1.633	  2.861	  3.046	  3.799	  1.563	  2.861	  3.046	  3.799	  1.563	  1.436	  3.347
S	  3.532	  1.343	  1.969	  1.818	  3.532	  1.100	  1.969	  1.818	  3.532	  1.100	 -0.591	  0.069
W	 -1.760	  1.391	  1.807	  1.807	 -1.774	 -0.554	  2.062	  2.062	 -0.486	  0.066	  0.898	  1.369
E	  1.784	  1.487	  1.784	  1.784	  2.389	  2.199	  2.062	  2.062	  2.160	  1.929	  1.450	  1.452
NW	   -Inf	  1.943	  3.164	  3.140	   -Inf	  2.210	  2.821	  3.089	   -Inf	  2.361	  1.898	  2.256
NE	  3.775	  1.273	  2.709	  2.636	  3.693	  1.279	  2.594	  2.818	  3.584	  1.271	  2.683	  2.001
SE	  1.768	  0.862	  2.143	  2.191	  2.947	  1.188	  1.998	  2.149	  3.123	  1.545	 -0.612	  0.142
SW	   -Inf	  1.090	  1.852	  2.165	   -Inf	  1.020	  2.126	  2.297	   -Inf	  0.952	 -0.328	  0.541
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 61.12	 60.00	 60.00	 48.88	 46.50	 57.75	 57.75	 46.25	 46.25	 33.00	 33.00
lon	-27.00	  4.00	 27.25	 32.00	-27.00	 -8.88	 27.25	 30.00	-27.00	 -8.88	 11.25	 45.00
N	  3.02	  1.40	  2.70	  2.52	  3.96	  1.88	  2.70	  2.61	  3.96	  1.88	  1.33	  3.09
S	  3.83	  0.97	  2.08	  1.62	  3.83	  1.03	  2.08	  1.86	  3.83	  1.03	 -0.31	 -0.10
W	 -1.23	  1.20	  2.08	  2.08	 -2.10	 -1.06	  1.76	  1.76	 -1.09	 -1.00	  0.72	  1.27
E	  1.25	  0.94	  1.25	  1.25	  2.68	  1.90	  1.84	  1.84	  1.83	  1.83	  1.08	  1.08
NW	  -Inf	  1.79	  2.79	  2.62	  -Inf	  2.28	  2.62	  2.76	  -Inf	  2.28	  1.87	  2.33
NE	  3.21	  0.98	  2.21	  2.40	  4.60	  1.20	  2.16	  2.42	  4.31	  1.22	  2.53	 -0.15
SE	  1.50	  0.89	  1.99	  2.16	  3.64	  1.23	  1.98	  1.98	  3.71	  1.32	 -0.72	 -0.29
SW	  -Inf	  1.09	  1.71	  1.51	  -Inf	  0.96	  1.54	  1.54	  -Inf	  0.95	  0.20	  0.15
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 61.12	 60.00	 60.00	 48.88	 48.75	 57.75	 58.88	 46.25	 46.25	 37.62	 33.00
lon	-27.00	  6.00	 27.25	 34.00	-27.00	 -8.88	 27.25	 33.75	-27.00	 -8.88	 27.25	 45.00
N	  2.95	  1.02	  1.97	  1.90	  4.40	  1.98	  1.97	  1.92	  4.40	  1.98	  1.97	  3.02
S	  4.27	  1.01	  1.37	  1.64	  4.27	  1.56	  1.37	  1.69	  4.27	  1.56	  0.68	 -0.46
W	 -0.79	  0.91	  2.06	  2.06	 -2.29	 -1.18	  1.95	  1.99	 -1.04	 -0.74	  1.30	  1.51
E	  0.83	  0.70	  0.83	  0.83	  2.80	  2.83	  1.00	  0.94	  1.83	  1.83	  0.64	  0.72
NW	  -Inf	  1.59	  2.16	  2.02	  -Inf	  2.46	  2.07	  2.16	  -Inf	  2.68	  1.62	  4.23
NE	  2.99	  0.83	  1.53	  2.52	  4.51	  1.44	  1.85	  2.66	  4.28	  1.09	  1.19	  0.30
SE	  2.12	  0.86	  1.97	  1.62	  4.09	  1.07	  2.24	  1.58	  4.04	  1.24	  0.46	 -0.36
SW	  -Inf	  0.87	  1.45	  1.53	  -Inf	  1.03	  1.36	  1.63	  -Inf	  0.87	  1.09	 -0.30
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 73.50	 60.00	 60.00	 48.75	 49.88	 56.62	 54.38	 46.25	 46.25	 33.00	 33.00
lon	 -9.00	  9.12	 27.25	 38.00	-27.00	 -8.88	 27.25	 33.38	-27.00	 -8.88	 13.75	 45.00
N	  1.59	 -0.13	  1.52	  1.52	  4.62	  2.20	  1.52	  1.73	  4.62	  2.20	  0.91	  3.07
S	  1.46	  1.20	  1.44	  1.25	  4.35	  1.46	  1.44	  1.66	  4.26	  1.46	 -0.66	 -0.31
W	  0.37	  2.20	  1.97	  1.97	 -2.58	 -1.06	  1.83	  1.35	 -1.16	 -0.85	  1.53	  1.53
E	  0.19	  0.16	  0.19	  0.19	  3.53	  3.31	  1.22	  1.95	  2.01	  2.01	  0.54	  0.54
NW	  1.66	  -Inf	  1.82	  1.75	  -Inf	  2.36	  1.70	  1.89	  -Inf	  2.88	  2.12	  3.27
NE	  1.25	  -Inf	  1.44	  1.14	  4.48	  1.50	  1.85	  1.16	  4.20	  1.25	  1.08	  0.17
SE	  1.42	  1.39	  2.11	  1.55	  4.47	  1.27	  1.47	  2.15	  4.09	  1.56	 -0.55	 -0.28
SW	  2.54	  1.72	  1.58	  1.69	  -Inf	  0.88	  1.65	  1.68	  -Inf	  0.82	 -0.45	 -0.17
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.000	 69.000	 73.375	 60.000	 48.750	 51.000	 56.625	 55.500	 46.250	 46.250	 36.500	 33.000
lon	 -9.000	  9.125	 20.000	 36.000	-27.000	 -8.875	 27.250	 36.000	-27.000	 -8.875	 27.250	 45.000
N	  1.807	  0.093	  0.290	  1.737	  4.725	  2.258	  1.181	  1.737	  4.725	  2.258	  1.181	  2.594
S	  1.517	  1.552	  1.482	  1.540	  4.378	  1.540	  1.459	  1.540	  4.378	  1.540	  0.394	 -0.706
W	  0.324	  1.874	  2.429	  1.668	 -1.774	 -0.883	  1.832	  1.431	 -1.223	 -0.888	  0.778	  1.284
E	 -0.023	  0.970	 -1.417	 -0.023	  3.706	  2.668	  0.589	  0.981	  2.026	  2.026	  0.504	  0.773
NW	  1.960	  0.738	  0.457	  1.856	   -Inf	  2.380	  1.350	  2.052	   -Inf	  2.890	  1.182	  2.664
NE	  1.482	 -0.256	  0.111	  1.400	  4.152	  2.090	  2.048	  1.294	  3.777	  1.770	  1.119	  0.533
SE	  1.372	  1.114	  2.027	  2.187	  4.550	  1.293	  1.086	  1.886	  4.218	  1.816	  0.161	 -0.497
SW	  2.661	  1.371	  1.148	  1.737	   -Inf	  1.054	  1.470	  1.788	   -Inf	  0.768	  0.683	 -0.533
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.000	 73.500	 72.375	 60.000	 48.750	 52.125	 56.625	 56.625	 46.250	 46.250	 36.500	 33.000
lon	-12.000	  9.125	 21.000	 38.000	-27.000	 -8.875	 27.250	 39.500	-27.000	 -8.875	 27.250	 43.750
N	  2.282	 -0.058	  0.429	  1.552	  4.239	  2.386	  0.695	  1.610	  4.239	  2.386	  0.973	  3.173
S	  1.679	  1.413	  1.286	  1.425	  4.644	  1.702	  1.332	  1.378	  4.644	  1.702	  0.614	 -0.023
W	  0.440	  2.651	  2.486	  1.436	 -1.370	  0.396	  1.389	  1.389	 -1.273	 -1.072	  0.720	  0.856
E	 -0.046	 -1.794	  0.000	 -0.046	  3.495	  1.773	  0.863	  0.863	  2.328	  2.328	  0.663	  0.663
NW	  2.158	   -Inf	  0.390	  1.585	   -Inf	  2.785	  0.684	  1.836	   -Inf	  3.281	  1.094	  1.911
NE	  2.053	   -Inf	  0.724	  1.332	  4.161	  2.413	  2.115	  1.325	  3.674	  1.606	  0.868	  1.652
SE	  1.290	  1.277	  1.710	  1.723	  4.339	  1.478	  0.982	  1.731	  4.475	  1.845	  0.340	 -0.328
SW	  3.247	  1.833	  1.223	  1.511	   -Inf	  1.248	  1.301	  1.915	   -Inf	  0.669	  0.746	  0.293
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 73.38	 72.38	 60.00	 48.75	 53.25	 59.88	 56.62	 46.25	 46.25	 37.62	 33.00
lon	-18.00	  9.12	 21.00	 40.00	-25.50	 -8.88	 27.25	 39.62	-26.75	 -8.88	 27.25	 45.00
N	  2.84	  0.12	  0.79	  1.53	  3.75	  2.41	  1.15	  1.48	  3.79	  2.41	  1.24	  2.50
S	  2.44	  1.36	  0.79	  1.58	  4.35	  1.90	  0.91	  1.58	  4.23	  1.90	  0.63	 -0.35
W	  0.67	  2.79	  2.60	  1.27	  0.25	  1.30	  1.02	  1.52	  0.20	  0.20	  1.08	  1.63
E	  0.19	 -0.53	  0.99	  0.19	  2.93	  1.68	  0.21	  1.16	  2.65	  2.65	  0.95	  0.65
NW	  2.65	  0.67	  0.50	  1.53	  3.23	  2.78	  0.27	  1.44	 -2.82	  3.29	  0.96	  1.05
NE	  2.55	 -0.45	  1.25	  1.31	  3.35	  2.18	  1.45	  1.43	  3.36	  1.64	  1.23	  0.08
SE	  1.33	  1.04	  1.34	  1.35	  4.36	  1.30	  0.71	  1.67	  4.24	  1.68	  0.38	 -0.43
SW	 -2.16	  1.79	  1.33	  1.61	  2.36	  1.44	  0.95	  1.84	  3.08	  0.75	  0.91	 -0.08
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.000	 69.000	 67.875	 60.000	 48.875	 51.125	 52.125	 57.750	 46.250	 46.250	 46.250	 36.500	 33.000
lon	-16.000	  9.125	 17.500	 42.000	-24.000	 -8.875	  9.250	 41.250	-24.125	-24.000	 -8.875	 27.250	 43.750
N	  2.675	  0.475	  0.892	  1.448	  3.764	  2.409	  1.089	  1.309	  3.764	  3.764	  2.409	  1.471	  2.421
S	  2.629	  1.216	  1.228	  2.096	  3.961	  1.749	  0.996	  2.096	  3.949	  3.961	  1.749	  0.510	 -0.023
W	  0.718	  2.230	  2.153	  1.899	  2.148	  2.011	  2.018	  2.322	  1.156	  1.156	  1.156	  0.936	  1.588
E	  0.255	  0.129	  0.338	  0.255	  3.117	  2.454	  1.981	  0.912	  2.345	  2.345	  2.345	  1.081	  0.704
NW	  2.531	  1.169	  0.702	  1.659	  3.589	  3.210	  0.826	  1.675	  2.112	  2.113	  3.470	  0.720	  1.608
NE	  2.396	  0.401	  1.905	  1.449	  3.416	  2.392	  1.741	  1.367	  3.352	  3.322	  1.733	  1.080	  1.188
SE	  1.854	  1.220	  1.194	  0.648	  3.971	  1.911	  1.085	  1.471	  3.763	  3.794	  2.249	  0.337	 -0.284
SW	  0.409	  1.508	  1.163	  1.948	  3.617	  1.526	  0.761	  2.166	  3.358	  3.327	  1.126	  0.710	  0.240
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.000	 69.000	 68.875	 66.750	 60.000	 49.875	 53.250	 53.250	 58.875	 46.250	 46.250	 36.375	 33.000
lon	-10.000	  9.125	  9.125	 17.500	 44.000	-22.375	 -8.875	  9.250	 43.125	-24.000	 -8.875	 27.250	 43.750
N	  1.899	  1.540	  1.540	  1.760	  2.085	  3.903	  2.363	  1.529	  1.807	  3.880	  2.363	  1.540	  3.023
S	  1.957	  1.425	  1.425	  1.633	  2.177	  3.787	  2.004	  1.448	  2.119	  3.590	  2.004	  0.440	 -0.151
W	  0.533	  2.779	  2.731	  2.435	  2.617	  3.073	  1.897	  1.897	  2.957	  1.306	  1.306	  0.734	  1.339
E	 -0.023	  0.032	  0.064	  0.499	 -0.023	  3.432	  1.684	  1.684	  0.134	  2.026	  2.026	  1.453	  1.132
NW	  1.875	  1.815	  1.804	  1.492	  2.017	  3.747	  2.993	  0.876	  1.920	  1.648	  3.637	  0.998	  1.838
NE	  1.690	  1.492	  1.504	  2.105	  0.529	  3.669	  2.605	  1.796	  0.528	  3.477	  1.860	  0.656	  1.616
SE	  1.640	  1.576	  1.585	  1.429	  0.538	  3.807	  1.575	  1.147	  0.786	  3.050	  2.111	  0.286	 -0.382
SW	  3.235	  1.448	  1.438	  1.587	  2.344	  3.584	  1.437	  1.364	  2.404	  3.288	  0.958	  0.584	  0.151
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.000	 65.625	 65.625	 61.125	 51.000	 54.375	 53.375	 53.250	 59.875	 46.250	 46.250	 33.000	 33.125
lon	-10.000	  9.125	 16.875	 45.000	-20.875	 -8.875	  9.250	  9.250	 45.000	-22.500	 -8.875	 20.000	 43.750
N	  1.865	  1.598	  1.934	  2.745	  3.822	  2.548	  1.598	  1.598	  2.745	  3.845	  2.548	  2.038	  2.525
S	  1.946	  1.621	  1.286	  2.258	  3.440	  2.073	  1.621	  1.621	  2.258	  2.594	  2.073	 -0.463	  0.162
W	  0.718	  2.385	  2.385	  2.326	  3.257	  1.929	  2.213	  2.226	  2.377	  1.022	  1.022	  1.063	  1.162
E	 -0.162	  0.365	  0.365	 -0.264	  3.202	  1.571	  1.883	  1.974	 -0.138	  1.826	  1.826	  1.257	  1.286
NW	  1.875	  1.597	  1.693	  2.358	  3.972	  2.910	  1.082	  1.070	  1.966	  2.086	  3.709	  1.553	  1.582
NE	  1.659	  1.971	  2.118	 -0.063	  3.290	  2.731	  1.785	  1.763	 -0.507	  3.152	  2.060	  1.039	  1.644
SE	  1.697	  1.104	  1.377	 -0.396	  3.557	  1.924	  1.362	  1.362	 -0.052	  2.349	  2.362	 -0.444	  0.213
SW	  3.187	  1.692	  1.349	  2.206	  3.178	  1.281	  1.243	  1.253	  2.410	  2.220	  0.653	 -0.266	  0.337
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
lat	 60.0000	 65.5000	 65.3750	 65.2500	 64.3750	 62.2500	 51.0000	 53.2500	 59.8750	 59.8750	 46.2500	 46.2500	 37.6250	 33.0000
lon	-12.0000	  9.1250	  9.1250	  9.1250	 18.0000	 45.0000	-19.2500	 -8.8750	 18.0000	 45.0000	-22.5000	 -8.8750	 27.2500	 42.5000
N	  1.8878	  1.7140	  1.7140	  1.7140	  2.0383	  2.5826	  3.7524	  2.3973	  2.0383	  2.5826	  3.7755	  2.3973	  1.5403	  2.3742
S	  2.4784	  1.3434	  1.3434	  1.3434	  1.5519	  1.7256	  3.0459	  2.4553	  1.5519	  1.7256	  1.7835	  2.4553	  0.3474	 -0.2780
W	  0.9265	  2.4018	  2.3903	  2.3790	  2.2494	  2.2635	  2.7420	  2.1292	  1.4768	  2.2383	  0.7034	  0.7034	  0.7896	  1.5328
E	 -0.0463	  0.1396	  0.1668	  0.2490	  0.4820	 -0.2487	  2.7789	  2.5163	 -0.0231	 -0.0231	  1.7250	  1.7250	  2.2811	  1.1047
NW	  1.8348	  1.9190	  1.9190	  1.9082	  1.8489	  2.2942	  3.8664	  2.8590	  1.8178	  1.6810	  1.2572	  3.8199	  1.3661	  1.9324
NE	  1.7215	  1.9602	  1.9714	  1.9825	  1.8295	 -0.6092	  3.1714	  2.0944	  1.9854	 -2.4644	  2.9053	  2.0037	  1.4579	  2.1549
SE	  1.6431	  1.2582	  1.2582	  1.2480	  1.5561	 -0.9243	  3.2598	  2.3407	  1.3987	  0.4453	  2.3150	  2.8239	  0.2528	 -0.4172
SW	  2.6526	  1.3884	  1.3884	  1.3969	  1.5376	  2.1745	  2.6579	  1.2058	  1.3567	  2.4644	  1.6200	  1.1463	  0.6440	  0.0089
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.000	 60.000	 60.000	 63.375	 52.125	 53.250	 58.875	 59.875	 39.750	 46.250	 33.000	 33.000
lon	-10.000	  9.125	 10.000	 45.000	-18.250	 -8.875	  9.375	 45.000	-25.000	 -8.875	 22.500	 43.750
N	  1.830	  1.726	  1.726	  2.745	  3.637	  2.652	  1.726	  2.745	  2.942	  2.652	  1.980	  2.733
S	  2.432	  1.656	  1.702	  2.085	  2.803	  2.490	  1.691	  2.085	  2.282	  2.490	 -0.660	 -0.197
W	  0.950	  1.320	  1.320	  2.403	  2.566	  2.420	  1.546	  1.777	  1.265	  0.385	  0.801	  1.547
E	 -0.162	 -0.162	 -0.162	  0.000	  2.226	  2.149	  0.045	 -0.162	  2.922	  1.625	  1.146	  1.146
NW	  1.793	  1.853	  1.875	  2.714	  3.695	  2.880	  1.746	  1.617	  1.618	  3.883	  1.404	  2.091
NE	  1.628	  1.774	  1.719	  0.497	  2.936	  2.330	  1.685	 -2.651	  2.527	  1.836	  1.256	  1.804
SE	  1.704	  1.297	  1.423	 -2.305	  3.250	  2.688	  1.371	  1.046	  3.109	  2.645	 -0.825	 -0.346
SW	  2.565	  1.573	  1.639	  2.403	  2.518	  1.890	  1.442	  2.651	  1.788	  1.393	 -0.169	  0.053
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.000	 60.000	 60.000	 63.375	 52.250	 52.125	 53.375	 58.875	 59.875	 42.125	 46.250	 33.000	 33.125
lon	 -9.000	  9.125	 10.000	 45.000	-16.625	-16.625	 -8.875	  9.375	 27.375	-21.125	 -8.875	 23.750	 43.750
N	  2.050	  1.506	  1.598	  2.270	  3.289	  3.289	  2.791	  1.529	  1.471	  3.196	  2.791	  2.004	  3.544
S	  2.073	  2.038	  1.957	  2.247	  2.200	  2.200	  2.085	  2.015	  1.448	  2.536	  2.085	 -0.313	  0.104
W	  0.857	  1.668	  1.668	  2.016	  1.816	  1.811	  1.864	  1.882	  1.685	  1.843	  0.569	  1.077	  1.521
E	 -0.232	 -0.232	 -0.232	  0.129	  2.024	  2.056	  1.592	 -0.179	 -0.231	  3.701	  1.072	  1.367	  1.300
NW	  1.990	  1.983	  1.963	  2.277	  3.424	  3.421	  2.777	  1.875	  1.897	  1.975	  3.465	  1.971	  1.864
NE	  1.773	  1.953	  1.952	 -0.296	  2.560	  2.555	  2.523	  1.930	  1.237	  2.550	  2.068	  1.033	  2.055
SE	  2.488	  1.778	  1.614	 -1.279	  2.678	  2.686	  1.843	  1.947	  1.575	  3.641	  2.193	 -0.479	  0.328
SW	  2.028	  1.933	  2.076	  2.540	  2.067	  2.087	  1.971	  1.955	  1.318	  2.253	  0.881	  0.027	  0.497
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 60.00	 60.00	 64.50	 52.12	 54.38	 54.38	 59.88	 44.38	 46.25	 33.12	 34.12
lon	 -9.00	  9.12	 14.00	 45.00	-16.62	  9.12	 10.00	 27.38	-18.25	 -8.88	 25.00	 43.75
N	  1.85	  1.60	  1.63	  1.34	  2.57	  2.14	  1.84	  1.70	  3.08	  2.55	  2.21	  3.47
S	  1.71	  2.65	  2.14	  2.02	  2.92	  2.65	  2.71	  1.59	  3.15	  1.73	  0.14	  0.39
W	  0.90	  1.55	  1.55	  1.96	  1.53	  1.65	  1.65	  1.57	  2.64	  0.99	  1.04	  1.29
E	 -0.23	 -0.23	 -0.23	  0.30	  1.41	  0.62	  0.62	 -0.25	  4.28	  2.71	  1.60	  1.05
NW	  1.88	  2.07	  1.70	  1.68	  2.75	  1.84	  2.15	  2.16	  2.58	  2.75	  1.71	  1.81
NE	  1.62	  1.66	  2.55	  0.76	  2.27	  2.59	  2.62	  1.58	  3.64	  1.64	  1.06	  3.20
SE	  2.09	  2.13	  2.28	 -1.67	  2.29	  2.34	  2.20	  1.96	  4.17	  2.22	  0.34	  0.61
SW	  0.91	  1.81	  2.08	  2.23	  0.95	  2.11	  2.13	  2.01	  2.92	  0.70	  0.41	  0.82
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
lat	 73.50	 60.00	 60.00	 60.00	 46.50	 54.38	 54.38	 56.62	 46.25	 46.25	 46.25	 46.25	 46.25	 34.12
lon	-26.62	  9.12	 18.00	 27.38	-16.50	  9.12	 15.00	 27.38	-16.50	 -8.88	 17.75	 17.88	 18.00	 43.75
N	 -0.53	  1.61	  2.18	  1.49	  2.54	  1.61	  1.64	  1.49	  2.54	  2.72	  2.14	  2.15	  2.18	  2.92
S	  1.85	  2.35	  2.37	  1.54	  3.15	  2.35	  2.61	  1.54	  3.15	  1.81	  1.62	  1.61	  1.60	  0.43
W	  0.86	  2.25	  2.25	  2.25	  2.29	  1.23	  1.23	  1.75	  2.11	  2.11	  2.11	  2.11	  2.11	  1.41
E	 -0.86	  0.00	  0.00	  0.00	  4.16	  0.50	  0.50	  0.29	  3.97	  3.97	  3.97	  3.97	  3.97	  0.69
NW	  -Inf	  1.96	  1.71	  1.99	  2.84	  1.73	  1.95	  2.11	  2.80	  2.63	  1.80	  1.82	  1.84	  1.72
NE	  -Inf	  1.43	  2.02	  1.55	  3.67	  2.17	  1.78	  1.39	  3.82	  1.37	  1.30	  1.29	  1.27	  2.24
SE	  1.50	  2.48	  2.06	  1.59	  4.14	  1.79	  2.41	  1.82	  4.07	  2.28	  1.33	  1.35	  1.37	  0.59
SW	  0.76	  1.92	  2.79	  2.32	  2.84	  2.65	  2.60	  1.73	  2.97	  0.93	  1.59	  1.53	  1.51	  0.97
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 72.375	 60.000	 60.000	 60.000	 48.875	 49.875	 54.375	 56.625	 46.250	 46.250	 46.250	 34.125	 33.000
lon	-27.000	  9.125	 20.000	 27.375	-13.500	 -8.875	 21.625	 27.375	-15.000	 -8.875	 19.500	 43.750	 45.000
N	  0.290	  1.980	  2.386	  1.853	  3.139	  2.664	  2.177	  1.853	  3.231	  2.664	  2.386	  2.988	  2.119
S	  1.401	  1.992	  3.023	  1.784	  3.984	  2.502	  2.988	  1.784	  3.474	  2.502	  1.471	  0.347	 -0.313
W	 -0.918	  2.293	  2.293	  2.293	  2.289	  1.743	  1.929	  1.811	  0.921	  0.921	  1.306	  1.553	  1.436
E	  0.994	  0.069	  0.069	  0.069	  4.191	  3.882	  1.491	  0.442	  2.613	  2.613	  2.613	  0.867	  0.677
NW	   -Inf	  1.939	  2.590	  2.218	  3.433	  2.831	  2.483	  2.331	  3.261	  3.186	  2.010	  2.570	  2.572
NE	  0.290	  1.408	  2.118	  1.882	  4.006	  2.953	  1.947	  2.199	  4.139	  1.741	  2.220	  2.290	  0.124
SE	  1.807	  2.035	  2.397	  2.470	  4.457	  3.286	  3.128	  2.308	  3.007	  3.564	  1.198	  0.499	 -0.293
SW	   -Inf	  1.283	  2.378	  2.988	  3.665	  2.524	  2.959	  2.797	  3.116	  1.301	  1.635	  0.933	 -0.124
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
lat	 73.500	 60.000	 60.000	 60.000	 51.000	 51.000	 51.000	 51.000	 54.500	 55.625	 46.250	 46.250	 46.250	 33.000
lon	-26.625	  9.125	 22.000	 27.375	-11.500	-11.375	-11.250	 -8.875	 25.000	 27.375	-21.000	 -8.875	 27.000	 45.000
N	 -0.081	  1.911	  2.536	  2.467	  3.625	  3.590	  3.567	  3.139	  2.444	  2.467	  3.046	  3.139	  2.455	  2.328
S	  1.355	  1.598	  3.081	  2.235	  3.185	  3.231	  3.289	  2.641	  3.011	  2.235	  1.552	  2.409	  2.027	 -0.579
W	  1.183	  2.548	  2.548	  2.548	  2.190	  2.190	  2.190	  2.190	  3.051	  2.420	  0.385	  0.385	  1.474	  1.188
E	 -1.183	  0.347	  0.347	  0.347	  2.871	  2.871	  2.871	  2.871	  1.476	  0.862	  1.457	  1.457	  1.457	  0.746
NW	   -Inf	  2.187	  2.930	  2.421	  3.396	  3.399	  3.392	  3.153	  3.200	  2.935	  2.335	  3.567	  2.622	  3.151
NE	   -Inf	  1.437	  2.347	  2.354	  3.932	  3.968	  3.995	  3.528	  2.425	  2.503	  3.425	  2.119	  1.689	  0.408
SE	  1.995	  1.891	  2.807	  2.739	  3.516	  3.577	  3.619	  3.357	  2.901	  2.900	  1.517	  2.716	  2.019	 -0.426
SW	  0.479	  1.486	  1.963	  3.037	  2.810	  2.740	  2.680	  2.319	  3.143	  3.088	  1.305	  1.512	  1.839	 -0.408
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 73.500	 73.500	 60.000	 60.000	 60.000	 51.125	 52.125	 56.625	 56.625	 46.250	 46.250	 46.250	 33.000
lon	-16.750	-16.625	  9.125	 27.250	 30.000	-12.875	 -8.875	 27.250	 28.750	-18.000	 -8.875	 27.250	 45.000
N	 -0.567	 -0.567	  1.471	  3.000	  3.127	  4.204	  3.996	  3.000	  3.081	  3.474	  3.996	  3.000	  1.841
S	  2.397	  2.409	  1.899	  2.745	  2.432	  2.409	  2.328	  2.745	  2.594	  1.934	  2.038	  1.668	 -0.243
W	  0.449	  0.449	  2.548	  2.919	  2.919	  2.399	  2.320	  2.779	  2.779	  0.419	  0.419	  1.373	  1.491
E	 -0.449	 -0.449	  0.533	  0.533	  0.533	  1.845	  1.962	  0.400	  0.400	  1.089	  1.089	  1.089	  0.787
NW	   -Inf	   -Inf	  2.414	  2.931	  2.855	  3.781	  3.481	  3.282	  3.031	  2.737	  3.671	  3.368	  4.330
NE	   -Inf	   -Inf	  1.133	  2.926	  3.283	  4.318	  4.229	  3.370	  3.487	  4.095	  3.491	  2.452	 -0.089
SE	  1.740	  1.720	  1.442	  3.041	  3.055	  2.493	  2.802	  3.020	  3.060	  1.793	  2.144	  1.326	 -0.435
SW	  1.307	  1.329	  1.327	  2.266	  3.091	  1.968	  1.709	  3.251	  3.361	  1.601	  1.348	  1.970	  0.089
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 73.500	 60.000	 60.000	 60.000	 51.000	 52.125	 58.875	 58.875	 39.875	 46.250	 46.250	 33.000
lon	-26.750	  9.125	 27.250	 32.000	-14.375	 -8.875	 27.250	 31.875	-27.000	 -8.875	 27.250	 45.000
N	 -1.112	  1.251	  3.393	  4.528	  4.192	  3.370	  3.393	  4.505	  1.239	  3.370	  3.393	  2.258
S	  2.710	  1.980	  2.143	  2.270	  2.803	  2.015	  2.143	  2.282	  0.683	  1.818	  0.903	 -0.371
W	  0.041	  2.085	  4.192	  4.192	  2.595	  2.641	  3.742	  3.742	 -0.332	  0.335	  1.591	  1.270
E	  0.000	  0.788	  0.788	  0.788	  1.988	  2.207	  0.538	  0.538	  1.026	  0.687	  0.687	  0.746
NW	   -Inf	  1.908	  3.307	  4.204	  3.972	  3.256	  3.015	  4.121	   -Inf	  4.064	  3.531	  4.819
NE	   -Inf	  0.884	  3.666	  4.282	  3.912	  3.470	  3.909	  4.591	  3.760	  2.553	  2.699	  0.027
