V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
W	 4.89	 4.89	 2.92	 2.12	 4.89	 4.89	 4.89	 1.46	 1.26	 1.26	 1.26	 1.22
E	-0.72	-0.72	-0.94	-1.30	-0.72	-0.72	-0.72	 0.32	 0.37	 0.37	 0.66	 0.80
NW	 3.33	 3.64	 1.22	 -Inf	 3.29	 3.61	 1.47	 1.47	 0.76	 2.41	 2.42	 1.28
NE	 3.77	 3.61	 1.97	 -Inf	 3.80	 3.58	 1.07	 1.52	 2.01	 0.51	 0.75	-0.30
SE	 4.48	 4.55	 3.94	 0.94	 4.48	 4.53	 2.76	 1.02	 1.04	 1.59	 0.17	-0.51
SW	 4.34	 4.21	 2.15	 0.85	 4.39	 4.25	 1.02	 0.97	 0.97	 0.79	 0.74	 0.30
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	63.375	61.125	66.750	71.250	59.875	59.875	59.875	46.375	34.250	42.000	36.375	33.000
lon	-9.000	-6.000	 9.250	27.375	-9.000	-4.000	 9.250	40.500	-9.000	-2.875	27.250	45.000
N	 2.814	 2.525	 2.328	 0.382	 2.814	 2.594	 2.328	 1.367	 2.814	 2.641	 1.031	 1.598
S	 3.208	 3.891	 2.224	 1.517	 3.208	 3.938	 2.224	 1.517	 0.521	 0.892	 0.278	-0.266
W	 3.618	 3.813	 2.817	 3.711	 3.877	 3.877	 3.877	 1.779	 1.093	 1.590	 1.553	 1.740
E	-0.749	-0.312	-1.291	-0.216	-0.438	-0.438	-0.438	 0.017	 0.659	 1.699	 0.762	 0.760
NW	 3.254	 3.404	 2.104	 0.579	 2.764	 3.592	 2.359	 2.011	 1.033	 1.936	 2.964	 2.049
NE	 2.822	 2.846	 2.415	 0.397	 2.867	 2.790	 1.621	 1.589	 1.312	 1.769	 0.866	-0.053
SE	 4.247	 4.331	 2.988	 1.166	 2.916	 4.351	 2.781	 1.341	 0.533	 1.769	 0.107	-0.417
SW	 3.062	 4.535	 3.128	 0.789	 4.038	 4.368	 1.315	 1.368	 0.874	 0.829	 0.431	 0.053
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	66.75	65.62	67.88	71.12	59.88	59.88	59.88	46.38	35.38	37.50	35.38	33.00
lon	-9.00	-4.75	 9.25	27.38	-9.00	-1.88	 9.25	40.50	-9.00	 2.50	27.25	45.00
N	 3.43	 3.45	 3.27	 0.83	 3.43	 3.59	 3.27	 1.27	 3.43	 3.57	 0.88	 2.28
S	 2.74	 3.75	 3.07	 1.33	 2.74	 4.01	 2.43	 1.52	 0.28	 1.88	 0.31	-0.59
W	 3.34	 3.34	 3.87	 4.51	 1.75	 2.28	 2.28	 1.58	 0.92	 1.21	 0.92	 1.41
E	-1.09	-0.90	-1.05	-0.97	 0.18	 0.18	 0.18	 0.15	 0.84	 1.07	 0.84	 1.01
NW	 4.58	 4.30	 2.98	 0.97	 3.70	 4.55	 3.46	 2.45	 1.29	 1.42	 3.93	 2.97
NE	 3.56	 3.72	 3.36	 0.96	 3.78	 3.59	 2.42	 1.19	 1.15	 1.49	 1.13	 0.30
SE	 3.58	 4.19	 3.38	 1.06	 2.33	 3.69	 2.68	 1.27	 1.59	 1.19	 0.12	-0.55
SW	 2.50	 3.32	 3.34	 1.00	 3.22	 4.28	 1.73	 1.07	 0.67	 1.14	 0.52	-0.30
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 67.875	 66.750	 66.750	 71.250	 57.750	 59.875	 59.875	 46.375	 33.000	 37.500	 36.375	 33.000
lon	 -9.000	 -2.500	  9.250	 27.375	-27.000	  1.875	  9.250	 40.500	 -9.000	  2.500	 27.250	 45.000
N	  4.077	  4.366	  3.451	  1.042	  1.760	  4.158	  3.451	  1.031	  4.077	  4.123	  1.251	  2.131
S	  2.444	  3.590	  3.324	  1.482	  2.837	  2.907	  2.050	  0.938	 -0.012	  2.038	  0.232	 -0.208
W	  4.705	  3.697	  3.697	  5.296	 -1.215	  0.485	  0.485	  1.763	  0.773	  1.518	  1.496	  0.953
